"MSOA11CD","total_cases"
"E02001111",816
"E02001112",516
"E02001113",1076
"E02001114",950
"E02001115",528
"E02001116",893
"E02001117",351
"E02001118",484
"E02001119",1689
"E02001121",950
"E02001123",608
"E02001124",567
"E02001125",692
"E02001126",755
"E02001127",664
"E02001128",606
"E02001129",602
"E02001130",540
"E02001131",462
"E02001132",519
"E02001133",549
"E02001134",576
"E02001135",771
"E02001136",956
"E02001137",538
"E02001138",756
"E02001139",1267
"E02001140",786
"E02001141",1247
"E02001142",545
"E02001143",1299
"E02001144",625
"E02001145",674
"E02001146",1160
"E02001147",946
"E02001148",1028
"E02001149",901
"E02001150",837
"E02001151",938
"E02001152",925
"E02001153",1104
"E02001154",992
"E02001155",670
"E02001156",804
"E02001157",675
"E02001158",459
"E02001159",605
"E02001160",590
"E02001161",504
"E02001162",427
"E02001163",772
"E02001164",730
"E02001165",498
"E02001166",852
"E02001167",724
"E02001168",801
"E02001169",877
"E02001170",780
"E02001171",518
"E02001172",1557
"E02001173",847
"E02001174",539
"E02001175",588
"E02001176",1023
"E02001177",1228
"E02001178",1653
"E02001179",659
"E02001180",468
"E02001181",461
"E02001182",524
"E02001183",604
"E02001184",1364
"E02001185",808
"E02001186",915
"E02001187",545
"E02001188",673
"E02001189",663
"E02001190",611
"E02001191",427
"E02001192",453
"E02001193",538
"E02001194",463
"E02001195",547
"E02001196",448
"E02001197",371
"E02001198",522
"E02001199",521
"E02001200",669
"E02001201",444
"E02001202",434
"E02001203",237
"E02001204",596
"E02001205",568
"E02001206",482
"E02001207",469
"E02001208",555
"E02001209",535
"E02001210",536
"E02001211",501
"E02001212",607
"E02001213",770
"E02001214",577
"E02001215",319
"E02001216",478
"E02001217",552
"E02001218",360
"E02001219",359
"E02001220",351
"E02001221",356
"E02001222",547
"E02001223",392
"E02001224",279
"E02001225",480
"E02001226",622
"E02001227",302
"E02001228",345
"E02001229",676
"E02001230",524
"E02001231",475
"E02001232",669
"E02001233",706
"E02001234",602
"E02001235",761
"E02001236",427
"E02001237",493
"E02001238",691
"E02001239",855
"E02001240",489
"E02001241",1002
"E02001242",638
"E02001243",519
"E02001244",405
"E02001245",663
"E02001246",556
"E02001247",618
"E02001248",861
"E02001249",446
"E02001250",442
"E02001251",399
